अ ə
गड्यां gəɖjã
गड्यांक gəɖjãkə
गड्यांकडेन gəɖjãkəɖenə
गड्यांचे gəɖjãtʃe
गड्यांचेर gəɖjãtʃerə
गड्यांचेरय gəɖjãtʃerəjə
गड्यांचो gəɖjãtʃo
गड्यांच्या gəɖjãtʃja
गड्यांन gəɖjãnə
गड्यांनी gəɖjãni
गड्याक gəɖjakə
गड्याची gəɖjatʃi
गड्याचेर gəɖjatʃerə
गण gəɳə
गणटी gəɳəʈi
गणपती gəɳəpət̪i
गणपतीक gəɳəpət̪ikə
गणपतीची gəɳəpət̪itʃi
गणपतीचीं gəɳəpət̪itʃĩ
गणपतीचें gəɳəpət̪itʃẽ
गणपतीच्या gəɳəpət̪itʃja
गणपतीन gəɳəpət̪inə
गणभेस gəɳəbʱesə
गणभेसा gəɳəbʱesa
गणराज्य gəɳəradʒjə
गणराज्या gəɳəradʒja
गणराया gəɳəraja
गणवेश gəɳəʋeʃə
गणवेशांची gəɳəʋeʃãtʃi
गणवेशाचो gəɳəʋeʃatʃo
गणापती gəɳapət̪i
गणिकांचोय gəɳikãtʃojə
गणित gəɳit̪ə
गणितज्ञ gəɳit̪ədʒɲə
गणिता gəɳit̪a
गणितां gəɳit̪ã
गणितांत gəɳit̪ãt̪ə
गणिताचेर gəɳit̪atʃerə
गणितान gəɳit̪anə
गणिती gəɳit̪i
गणीत gəɳit̪ə
गणेश gəɳeʃə
गणोबांक gəɳobãkə
गण्या gəɳja
गत gət̪ə
गताचो gət̪atʃo
गती gət̪i
गतींत gət̪ĩt̪ə
गतीन gət̪inə
गतीमान gət̪imanə
गदा gəd̪a
गदी gəd̪i
गन्यांव gənjãʋə
गप्प gəppə
गब्बर gəbbərə
गमभनचो gəməbʱənətʃo
गमय gəməjə
गमावचें gəmaʋətʃẽ
गया gəja
गयी gəji
गये gəje
गयेक gəjekə
गरगरीत gərəgərit̪ə
गरज gərədʒə
गरजच gərədʒətʃə
गरजय gərədʒəjə
गरजां gərədʒã
गरजीचें gərədʒitʃẽ
गरजूच gərədʒutʃə
गरजूय gərədʒujə
गरजे gərədʒe
गरजेंचें gərədʒẽtʃẽ
गरजेक gərədʒekə
गरजेची gərədʒetʃi
गरजेचीं gərədʒetʃĩ
गरजेचे gərədʒetʃe
गरजेचें gərədʒetʃẽ
गरजेचो gərədʒetʃo
गरजेच्या gərədʒetʃja
गरजेच्यो gərədʒetʃjo
गरजेवंत gərədʒeʋə̃t̪ə
गरजेवंतां gərədʒeʋə̃t̪ã
गरजेवंतांक gərədʒeʋə̃t̪ãkə
गरजेवें gərədʒeʋẽ
गरजो gərədʒo
गरजोय gərədʒojə
गरम gərəmə
गरमगरम gərəməgərəmə
गरमागरम gərəmagərəmə
गरमी gərəmi
गरमे gərəme
गरयेक gərəjekə
गरिबधाकट्यांक gəribəd̪ʰakəʈjãkə
गरिबां gəribã
गरिबांक gəribãkə
गरिबांगेर gəribãgerə
गरिबांची gəribãtʃi
गरिबांचेर gəribãtʃerə
गरिबांच्या gəribãtʃja
गरिबांतल्या gəribãt̪əlja
गरिबाक gəribakə
गरिबाच्या gəribatʃja
गरिबी gəribi
गरिबींत gəribĩt̪ə
गरिबीक gəribikə
गरिबीची gəribitʃi
गरिबीचो gəribitʃo
गरिमा gərima
गरीब gəribə
गरीबांची gəribãtʃi
गरीबाक gəribakə
गरीबाची gəribatʃi
गरीबी gəribi
गरुडिया gəruɖija
गरूडराजाच्या gəruɖəradʒatʃja
गरोवंक gəroʋə̃kə
गर्जतालो gərdʒət̪alo
गर्जन gərdʒənə
गर्जना gərdʒəna
गर्दी gərd̪i
गर्दीदेवी gərd̪id̪eʋi
गर्देँत gərd̪eM’t̪ə
गर्देंत gərd̪ẽt̪ə
गर्देक gərd̪ekə
गर्देत gərd̪et̪ə
गर्नाल gərnalə
गर्भ gərbʱə
गर्भकुडी gərbʱəkuɖi
गर्भकुडींत gərbʱəkuɖĩt̪ə
गर्भनिरोधक gərbʱənirod̪ʰəkə
गर्भश्रीमंत gərbʱəʃrimə̃t̪ə
गर्भश्रीमंतीचो gərbʱəʃrimə̃t̪itʃo
गर्भांत gərbʱãt̪ə
गर्मी gərmi
गर्मेच्या gərmetʃja
गर्ल gərlə
गर्लफ्रॅण्ड gərləfrɛɳɖə
गर्लफ्रॅण्डाक gərləfrɛɳɖakə
गर्लफ्रेंड gərləfrẽɖə
गर्लफ्रेड gərləfreɖə
गर्व gərʋə
गर्वाक gərʋakə
गलो gəlo
गल्लो gəllo
गल्ल्यांची gəlljãtʃi
गल्ल्यांतल्यान gəlljãt̪əljanə
गळचेपी gəɭətʃepi
गळटलेंच gəɭəʈəlẽtʃə
गळटी gəɭəʈi
गळटीचो gəɭəʈitʃo
गळपाची gəɭəpatʃi
गळयतात gəɭəjət̪at̪ə
गळयली gəɭəjəli
गळयलो gəɭəjəlo
गळसणटलो gəɭəsəɳəʈəlo
गळसणटा gəɭəsəɳəʈa
गळसणटात gəɭəsəɳəʈat̪ə
गळसणिल्ले gəɭəsəɳille
गळसणून gəɭəsəɳunə
गळून gəɭunə
गळे gəɭe
गळो gəɭo
गळोवचो gəɭoʋətʃo
गळोवपाचीं gəɭoʋəpatʃĩ
गळोवपाचे gəɭoʋəpatʃe
गळोवपी gəɭoʋəpi
गळ्या gəɭja
गळ्यांत gəɭjãt̪ə
गळ्यांतलें gəɭjãt̪əlẽ
गळ्यांतलो gəɭjãt̪əlo
गळ्यांतूय gəɭjãt̪ujə
गळ्याक gəɭjakə
गळ्ळें gəɭɭẽ
गवंडे gəʋə̃ɖe
गवंडेक gəʋə̃ɖekə
गवर्नर gəʋərnərə
गवळी gəʋəɭi
गवळ्याचो gəʋəɭjatʃo
गवसणी gəʋəsəɳi
गवसता gəʋəsət̪a
गवाय gəʋajə
गवायूच gəʋajutʃə
गवाळींतल्यान gəʋaɭĩt̪əljanə
गवे gəʋe
गव्हर्नन्स gəʋɦərnənsə
गव्हर्नर gəʋɦərnərə
गस्त gəst̪ə
गहन gəɦənə
गा ga
गांगुली gãguli
गांगुलीन gãgulinə
गांजे gãdʒe
गांठ gãʈʰə
गांठची gãʈʰətʃi
गांठप gãʈʰəpə
गांठपय gãʈʰəpəjə
गांठपा gãʈʰəpa
गांठपाक gãʈʰəpakə
गांठली gãʈʰəli
गांठल्या gãʈʰəlja
गांठवल gãʈʰəʋələ
गांठिल्ल्या gãʈʰillja
गांठी gãʈʰi
गांठीक gãʈʰikə
गांठूंक gãʈʰũkə
गांधी gãd̪ʰi
गांधींक gãd̪ʰĩkə
गांधींची gãd̪ʰĩtʃi
गांधींचे gãd̪ʰĩtʃe
गांधींचो gãd̪ʰĩtʃo
गांधींच्या gãd̪ʰĩtʃja
गांधीक gãd̪ʰikə
गांधीच gãd̪ʰitʃə
गांधीची gãd̪ʰitʃi
गांधीचे gãd̪ʰitʃe
गांधीचें gãd̪ʰitʃẽ
गांधीचो gãd̪ʰitʃo
गांधीच्या gãd̪ʰitʃja
गांधीजी gãd̪ʰidʒi
गांधीजींची gãd̪ʰidʒĩtʃi
गांधीजींचीं gãd̪ʰidʒĩtʃĩ
गांधीजींचे gãd̪ʰidʒĩtʃe
गांधीजींचें gãd̪ʰidʒĩtʃẽ
गांधीजींच्या gãd̪ʰidʒĩtʃja
गांधीजींन gãd̪ʰidʒĩnə
गांधीजीची gãd̪ʰidʒitʃi
गांधीजीच्या gãd̪ʰidʒitʃja
गांधीजीन gãd̪ʰidʒinə
गांधीतत्वांक gãd̪ʰit̪ət̪ʋãkə
गांधीन gãd̪ʰinə
गांधीनगर gãd̪ʰinəgərə
गांधीनय gãd̪ʰinəjə
गांधीनेहरूचीं gãd̪ʰineɦərutʃĩ
गांधीवादी gãd̪ʰiʋad̪i
गांधीवाद्यांनी gãd̪ʰiʋad̪jãni
गांभिर्यान gãbʱirjanə
गांभीर्य gãbʱirjə
गांयडोळ gãjəɖoɭə
गांयडोळान gãjəɖoɭanə
गांयडोळानूय gãjəɖoɭanujə
गांव gãʋə
गांवकार gãʋəkarə
गांवकारांक gãʋəkarãkə
गांवकारांचें gãʋəkarãtʃẽ
गांवकारान gãʋəkaranə
गांवगाडो gãʋəgaɖo
गांवगिरी gãʋəgiri
गांवगिरे gãʋəgire
गांवगिरें gãʋəgirẽ
गांवगिरो gãʋəgiro
गांवगिर्या gãʋəgirja
गांवगिर्यां gãʋəgirjã
गांवगिर्यांच्या gãʋəgirjãtʃja
गांवगिर्यांो gãʋəgirjao
गांवगिर्याक gãʋəgirjakə
गांवगिर्याड gãʋəgirjaɖə
गांवगिर्याध gãʋəgirjad̪ʰə
गांवगिर्याव gãʋəgirjaʋə
गांवगिर्याा gãʋəgirja
गांवगिर्याे gãʋəgirje
गांवगिर्या् gãʋəgirj
गांवगिऱया gãʋəgirja
गांवगिऱयां gãʋəgirjã
गांवगिऱ्य gãʋəgijə
गांवगिऱ्या gãʋəgija
गांवगिऱ्यां gãʋəgijã
गांवची gãʋətʃi
गांवचे gãʋətʃe
गांवचें gãʋətʃẽ
गांवचो gãʋətʃo
गांवच्या gãʋətʃja
गांवठी gãʋəʈʰi
गांवढळ gãʋəɖʰəɭə
गांवपंचायती gãʋəpə̃tʃajət̪i
गांवभर gãʋəbʱərə
गांवभाव gãʋəbʱaʋə
गांवभोंवडेची gãʋəbʱõʋəɖetʃi
गांवस gãʋəsə
गांवसान gãʋəsanə
गांवा gãʋa
गांवांक gãʋãkə
गांवांगांवांचे gãʋãgãʋãtʃe
गांवांगांवांत gãʋãgãʋãt̪ə
गांवांगांवांतले gãʋãgãʋãt̪əle
गांवांगांवांतल्यान gãʋãgãʋãt̪əljanə
गांवांगांवांनी gãʋãgãʋãni
गांवांची gãʋãtʃi
गांवांचे gãʋãtʃe
गांवांचेर gãʋãtʃerə
गांवांच्या gãʋãtʃja
गांवांत gãʋãt̪ə
गांवांतली gãʋãt̪əli
गांवांतले gãʋãt̪əle
गांवांतलें gãʋãt̪əlẽ
गांवांतलो gãʋãt̪əlo
गांवांतल्या gãʋãt̪əlja
गांवांतल्यान gãʋãt̪əljanə
गांवांतूच gãʋãt̪utʃə
गांवांनी gãʋãni
गांवांनीच gãʋãnitʃə
गांवांनीय gãʋãnijə
गांवाक gãʋakə
गांवागांवांनी gãʋagãʋãni
गांवाची gãʋatʃi
गांवाचें gãʋatʃẽ
गांवाचो gãʋatʃo
गांवाच्या gãʋatʃja
गांवाच्यान gãʋatʃjanə
गांवान gãʋanə
गांवानी gãʋani
गांवानूय gãʋanujə
गांवार gãʋarə
गांविगिर्या gãʋigirja
गाईन gai:nə
गाजत gadʒət̪ə
गाजतली gadʒət̪əli
गाजतलीं gadʒət̪əlĩ
गाजता gadʒət̪a
गाजतात gadʒət̪at̪ə
गाजताले gadʒət̪ale
गाजताल्यो gadʒət̪aljo
गाजपाक gadʒəpakə
गाजयत gadʒəjət̪ə
गाजयता gadʒəjət̪a
गाजयतात gadʒəjət̪at̪ə
गाजयना gadʒəjəna
गाजयलें gadʒəjəlẽ
गाजयलो gadʒəjəlo
गाजयिल्ले gadʒəjille
गाजली gadʒəli
गाजलीं gadʒəlĩ
गाजले gadʒəle
गाजलें gadʒəlẽ
गाजलो gadʒəlo
गाजल्यात gadʒəljat̪ə
गाजिल्ली gadʒilli
गाजिल्ले gadʒille
गाजिल्ल्या gadʒillja
गाजूंक gadʒũkə
गाजोबाजो gadʒobadʒo
गाजोलीन gadʒolinə
गाजोवचें gadʒoʋətʃẽ
गाजोवप gadʒoʋəpə
गाजोवपाक gadʒoʋəpakə
गाजोवपी gadʒoʋəpi
गाजोवाजो gadʒoʋadʒo
गाझियाबादांतल्या gadʒʱijabad̪ãt̪əlja
गाटांत gaʈãt̪ə
गाठीक gaʈʰikə
गाडगीळ gaɖəgiɭə
गाडगीळा gaɖəgiɭa
गाडगेबाबा gaɖəgebaba
गाडगो gaɖəgo
गाडयांक gaɖəjãkə
गाडयांची gaɖəjãtʃi
गाडयांचें gaɖəjãtʃẽ
गाडयांचो gaɖəjãtʃo
गाडयांच्या gaɖəjãtʃja
गाडयाचें gaɖəjatʃẽ
गाडये gaɖəje
गाडयेंत gaɖəjẽt̪ə
गाडयेंतच gaɖəjẽt̪ətʃə
गाडयेंतल्यान gaɖəjẽt̪əljanə
गाडयेंतल्यानच gaɖəjẽt̪əljanətʃə
गाडयेक gaɖəjekə
गाडयेची gaɖəjetʃi
गाडयेन gaɖəjenə
गाडयेपोंदा gaɖəjepõd̪a
गाडयो gaɖəjo
गाडयोह्या gaɖəjoɦja
गाडवा gaɖəʋa
गाडी gaɖi
गाडे gaɖe
गाडो gaɖo
गाड्या gaɖja
गाड्यांक gaɖjãkə
गाड्यांचो gaɖjãtʃo
गाड्यार gaɖjarə
गाड्यो gaɖjo
गाणगापूर gaɳəgapurə
गाणीं gaɳĩ
गातात gat̪at̪ə
गात्रां gat̪rã
गाथा gat̪ʰa
गादये gad̪əje
गादयेर gad̪əjerə
गादयो gad̪əjo
गादी gad̪i
गानसम्राज्ञीक ganəsəmradʒɲikə
गाफीलपणान gafiləpəɳanə
गामा gama
गाय gajə
गायक gajəkə
गायकवाड gajəkəʋaɖə
गायकांकूच gajəkãkutʃə
गायकांच्या gajəkãtʃja
गायकाचेर gajəkatʃerə
गायकाचो gajəkatʃo
गायकान gajəkanə
गायकी gajəki
गायचें gajətʃẽ
गायड gajəɖə
गायत gajət̪ə
गायता gajət̪a
गायतालें gajət̪alẽ
गायन gajənə
गायना gajəna
गायनांत gajənãt̪ə
गायनाचे gajənatʃe
गायनाच्यो gajənatʃjo
गायब gajəbə
गायलां gajəlã
गायले gajəle
गायल्या gajəlja
गायल्यांत gajəljãt̪ə
गायिका gajika
गायिकांकूय gajikãkujə
गायिल्लें gajillẽ
गायिल्ल्या gajillja
गायेचें gajetʃẽ
गायेच्या gajetʃja
गायो gajo
गार garə
गारंबीचा garə̃bitʃa
गारकाणयेचो garəkaɳəjetʃo
गारण्यांक garəɳjãkə
गाराणीं garaɳĩ
गाराणें garaɳẽ
गार्गी gargi
गार्डनांत garɖənãt̪ə
गार्फांय garfãjə
गार्बेज garbedʒə
गार्बेजीचें garbedʒitʃẽ
गार्बेजीचो garbedʒitʃo
गाल galə
गालजीबाग galədʒibagə
गालमो galəmo
गाळ gaɭə
गाळचे gaɭətʃe
गाळटा gaɭəʈa
गाळान gaɭanə
गाळी gaɭi
गाळींक gaɭĩkə
गावंक gaʋə̃kə
गावता gaʋət̪a
गावतात gaʋət̪at̪ə
गावन gaʋənə
गावना gaʋəna
गावप gaʋəpə
गावपाक gaʋəpakə
गावपाची gaʋəpatʃi
गावपाचें gaʋəpatʃẽ
गावपी gaʋəpi
गावलां gaʋəlã
गावलें gaʋəlẽ
गावस्कर gaʋəskərə
गावस्करा gaʋəskəra
गावस्करान gaʋəskəranə
गावां gaʋã
गिककेला gikəkela
गिज्ञान gidʒɲanə
गिता git̪a
गितां git̪ã
गितांची git̪ãtʃi
गितांचे git̪ãtʃe
गितांतल्यान git̪ãt̪əljanə
गितांनी git̪ãni
गिताक git̪akə
गिनी gini
गिनीक ginikə
गिन्यान ginjanə
गिन्यानाची ginjanatʃi
गिन्यानाचें ginjanatʃẽ
गिन्यानाचो ginjanatʃo
गिन्यानाच्या ginjanatʃja
गिन्यानी ginjani
गिफ्ट gifʈə
गिमांच्या gimãtʃja
गिमांतली gimãt̪əli
गिमाच्या gimatʃja
गिमाळीं gimaɭĩ
गियराची gijəratʃi
गियातेका gijat̪eka
गियोवानी gijoʋani
गिरगिरीं girəgirĩ
गिरयले girəjəle
गिराण giraɳə
गिराणांतल्यान giraɳãt̪əljanə
गिरायक girajəkə
गिरायकांक girajəkãkə
गिरायकांची girajəkãtʃi
गिरायकांचें girajəkãtʃẽ
गिरायकांच्या girajəkãtʃja
गिरायकांच्यो girajəkãtʃjo
गिरायकांतलो girajəkãt̪əlo
गिरायकाक girajəkakə
गिरायकाच्या girajəkatʃja
गिरिजनां giridʒənã
गिरिजा giridʒa
गिरिजी giridʒi
गिरिमल्लिका giriməllika
गिरिमल्लिकेचीं giriməlliketʃĩ
गिरीश giriʃə
गिरे gire
गिरेस्त girest̪ə
गिरेस्तकाय girest̪əkajə
गिरेस्तकायेची girest̪əkajetʃi
गिरेस्तकायेचो girest̪əkajetʃo
गिरेस्तां girest̪ã
गिरेस्तांक girest̪ãkə
गिरेस्तांचो girest̪ãtʃo
गिरेस्तांनी girest̪ãni
गिरेस्ताचे girest̪atʃe
गिरेस्ताचो girest̪atʃo
गिरोवंक giroʋə̃kə
गिल gilə
गिलाच्या gilatʃja
गिलान gilanə
गिलानी gilani
गिल्ड gilɖə
गिल्डन gilɖənə
गिळपाक giɭəpakə
गिळपाची giɭəpatʃi
गिळपी giɭəpi
गिळूंक giɭũkə
गिळून giɭunə
गिसेला gisela
गींभीराक gĩbʱirakə
गीत git̪ə
गीतकार git̪əkarə
गीतकारूच git̪əkarutʃə
गीता git̪a
गीताक git̪akə
गीताची git̪atʃi
गीताचे git̪atʃe
गीताचें git̪atʃẽ
गीतान git̪anə
गीताबाय git̪abajə
गीतेंत git̪ẽt̪ə
गीन्यान ginjanə
गीम gimə
गुं gũ
गुंगेंत gũgẽt̪ə
गुंगेचें gũgetʃẽ
गुंजता gũdʒət̪a
गुंजन gũdʒənə
गुंड gũɖə
गुंडगिरी gũɖəgiri
गुंडगिरीक gũɖəgirikə
गुंडगिरीच्या gũɖəgiritʃja
गुंडांक gũɖãkə
गुंडांच्या gũɖãtʃja
गुंडांनी gũɖãni
गुंडाचीच gũɖatʃitʃə
गुंडे gũɖe
गुंडो gũɖo
गुंड्या gũɖja
गुंड्यान gũɖjanə
गुंड्यावरी gũɖjaʋəri
गुंतयले gũt̪əjəle
गुंतयल्यात gũt̪əjəljat̪ə
गुंतवणुकीक gũt̪əʋəɳukikə
गुंतवणुकीची gũt̪əʋəɳukitʃi
गुंतवणुकीचो gũt̪əʋəɳukitʃo
गुंतवणूक gũt̪əʋəɳukə
गुंतवणूकदारांची gũt̪əʋəɳukəd̪arãtʃi
गुंतवणूकदारांचो gũt̪əʋəɳukəd̪arãtʃo
गुंतिल्ले gũt̪ille
गुंतिल्ल्या gũt̪illja
गुंतिल्ल्यान gũt̪illjanə
गुंतून gũt̪unə
गुंथिल्ल्याच्यो gũt̪ʰilljatʃjo
गुंथिल्ल्यो gũt̪ʰilljo
गुंथोवपाचो gũt̪ʰoʋəpatʃo
गुंदाव gũd̪aʋə
गुंफतना gũfət̪əna
गुंवतणुकीक gũʋət̪əɳukikə
गुग्गूळ gugguɭə
गुज gudʒə
गुजर gudʒərə
गुजरनवाला gudʒərənəʋala
गुजरांत gudʒərãt̪ə
गुजरात gudʒərat̪ə
गुजरातचे gudʒərat̪ətʃe
गुजराता gudʒərat̪a
गुजरातांत gudʒərat̪ãt̪ə
गुजरातांतलो gudʒərat̪ãt̪əlo
गुजरातांतल्या gudʒərat̪ãt̪əlja
गुजरातांतल्यो gudʒərat̪ãt̪əljo
गुजराताक gudʒərat̪akə
गुजराताचे gudʒərat̪atʃe
गुजराताचो gudʒərat̪atʃo
गुजराती gudʒərat̪i
गुजाचे gudʒatʃe
गुटलावन guʈəlaʋənə
गुठलायत guʈʰəlajət̪ə
गुठलायतकच guʈʰəlajət̪əkətʃə
गुठलायल्या guʈʰəlajəlja
गुठलावची guʈʰəlaʋətʃi
गुठलावन guʈʰəlaʋənə
गुठलावप guʈʰəlaʋəpə
गुठलावपाचे guʈʰəlaʋəpatʃe
गुठलावपाचें guʈʰəlaʋəpatʃẽ
गुठलावपाचो guʈʰəlaʋəpatʃo
गुठलावपी guʈʰəlaʋəpi
गुठली guʈʰəli
गुड guɖə
गुडगांवात guɖəgãʋat̪ə
गुडबाय guɖəbajə
गुड्डलेसांव guɖɖəlesãʋə
गुड्डे guɖɖe
गुड्डेमळ guɖɖeməɭə
गुड्डो guɖɖo
गुड्ड्याक guɖɖjakə
गुढाचें guɖʰatʃẽ
गुण guɳə
गुणगान guɳəganə
गुणगुणटा guɳəguɳəʈa
गुणगुणत guɳəguɳət̪ə
गुणघर्म guɳəgʱərmə
गुणतत्वां guɳət̪ət̪ʋã
गुणधर्म guɳəd̪ʰərmə
गुणनिर्माचो guɳənirmatʃo
गुणवत्ता guɳəʋət̪t̪a
गुणवत्तेची guɳəʋət̪t̪etʃi
गुणवत्तेचें guɳəʋət̪t̪etʃẽ
गुणां guɳã
गुणांचेर guɳãtʃerə
गुणांचो guɳãtʃo
गुणांच्या guɳãtʃja
गुणांनी guɳãni
गुणाक guɳakə
गुणाकारा guɳakara
गुणाचें guɳatʃẽ
गुणी guɳi
गुणेस्त guɳest̪ə
गुदांव gud̪ãʋə
गुदिनोक gud̪inokə
गुद्दागुद्दी gud̪d̪agud̪d̪i
गुनाळ्यो gunaɭjo
गुन्यांक gunjãkə
गुन्यांव gunjãʋə
गुन्यांवकरी gunjãʋəkəri
गुन्यांवकरीचो gunjãʋəkəritʃo
गुन्यांवकार gunjãʋəkarə
गुन्यांवकारां gunjãʋəkarã
गुन्यांवकारांक gunjãʋəkarãkə
गुन्यांवकारांचे gunjãʋəkarãtʃe
गुन्यांवकारांचेर gunjãʋəkarãtʃerə
गुन्यांवकारांच्या gunjãʋəkarãtʃja
गुन्यांवकाराक gunjãʋəkarakə
गुन्यांवकाराची gunjãʋəkaratʃi
गुन्यांवकारी gunjãʋəkari
गुन्यांवकारीक gunjãʋəkarikə
गुन्यांवकारीचें gunjãʋəkaritʃẽ
गुन्यांवकारीय gunjãʋəkarijə
गुन्यांवकारीसंबंद gunjãʋəkarisə̃bə̃d̪ə
गुन्यांवकारेंत gunjãʋəkarẽt̪ə
गुन्यांवकारेंतूय gunjãʋəkarẽt̪ujə
गुन्यांवकारेक gunjãʋəkarekə
गुन्यांवकारेची gunjãʋəkaretʃi
गुन्यांवकारेचें gunjãʋəkaretʃẽ
गुन्यांवकारेचेर gunjãʋəkaretʃerə
गुन्यांवकारेचो gunjãʋəkaretʃo
गुन्यांवकारेच्या gunjãʋəkaretʃja
गुन्यांवकारेतलो gunjãʋəkaret̪əlo
गुन्यांववकारी gunjãʋəʋəkari
गुन्यांवा gunjãʋa
गुन्यांवां gunjãʋã
गुन्यांवांक gunjãʋãkə
गुन्यांवांची gunjãʋãtʃi
गुन्यांवांचे gunjãʋãtʃe
गुन्यांवांचें gunjãʋãtʃẽ
गुन्यांवांचो gunjãʋãtʃo
गुन्यांवांच्या gunjãʋãtʃja
गुन्यांवांत gunjãʋãt̪ə
गुन्यांवांनी gunjãʋãni
गुन्यांवाक gunjãʋakə
गुन्यांवाची gunjãʋatʃi
गुन्यांवाचीय gunjãʋatʃijə
गुन्यांवाचे gunjãʋatʃe
गुन्यांवाच्या gunjãʋatʃja
गुन्यांवातल्यान gunjãʋat̪əljanə
गुन्यावकारी gunjaʋəkari
गुन्यावांचें gunjaʋãtʃẽ
गुपचूप gupətʃupə
गुपितां gupit̪ã
गुपीत gupit̪ə
गुपूत guput̪ə
गुप्त gupt̪ə
गुप्तचर gupt̪ətʃərə
गुप्ततायेचें gupt̪ət̪ajetʃẽ
गुप्ततायेच्या gupt̪ət̪ajetʃja
गुप्तहेर gupt̪əɦerə
गुप्ता gupt̪a
गुप्ताची gupt̪atʃi
गुप्ताचें gupt̪atʃẽ
गुप्तान gupt̪anə
गुप्तानान gupt̪ananə
गुप्तिल gupt̪ilə
गुप्तिला gupt̪ila
गुप्तिलान gupt̪ilanə
गुप्तेचो gupt̪etʃo
गुबार gubarə
गुयानांत gujanãt̪ə
गुरगुरपाक gurəgurəpakə
गुरव gurəʋə
गुरवाचारांतल्यान gurəʋatʃarãt̪əljanə
गुरवार gurəʋarə
गुरवारचार gurəʋarətʃarə
गुरवारपणांतल्या gurəʋarəpəɳãt̪əlja
गुरुकच gurukətʃə
गुरुजीन gurudʒinə
गुरुप्रसाद guruprəsad̪ə
गुरू guru
गुरूक gurukə
गुरूच gurutʃə
गुरूची gurutʃi
गुरूजी gurudʒi
गुरूजींची gurudʒĩtʃi
गुरूदक्षिणा gurud̪əkʂiɳa
गुरूमुर्ती gurumurt̪i
गुरूर्जीचें gururdʒitʃẽ
गुरूशिश्य guruʃiʃjə
गुर्जर gurdʒərə
गुर्जी gurdʒi
गुर्जीं gurdʒĩ
गुर्जीगेर gurdʒigerə
गुर्जीचें gurdʒitʃẽ
गुर्जीचो gurdʒitʃo
गुर्जीन gurdʒinə
गुलजारीलाल gulədʒarilalə
गुलबर्ग guləbərgə
गुलबर्गाच्यान guləbərgatʃjanə
गुलाब gulabə
गुलाबी gulabi
गुलाम gulamə
गुलामगिरींतल्यान gulaməgirĩt̪əljanə
गुलामगिरीचीं gulaməgiritʃĩ
गुलामगिरीचो gulaməgiritʃo
गुलामगिरीचोच gulaməgiritʃotʃə
गुलामगिरीच्या gulaməgiritʃja
गुलामी gulami
गुलाल gulalə
गुलिकसन gulikəsənə
गुल्बर्ग gulbərgə
गुल्मोहर gulmoɦərə
गुल्ल gullə
गुळगुळीत guɭəguɭit̪ə
गुळयेन guɭəjenə
गुळयो guɭəjo
गुळी guɭi
गुळे guɭe
गुळो guɭo
गुळोभालो guɭobʱalo
गुहागराच्या guɦagəratʃja
गूच gutʃə
गूट guʈə
गूड guɖə
गूढ guɖʰə
गूण guɳə
गूणदोश guɳəd̪oʃə
गूप gupə
गृह gxɦə
गृहमंत्रालयाक gxɦəmə̃t̪raləjakə
गृहमंत्रालयाची gxɦəmə̃t̪raləjatʃi
गृहमंत्रालयान gxɦəmə̃t̪raləjanə
गृहमंत्री gxɦəmə̃t̪ri
गृहीत gxɦit̪ə
गृहीतक gxɦit̪əkə
गॅट gɛʈə
गॅदरिंगाक gɛd̪ərĩgakə
गॅरेजीत gɛredʒit̪ə
गॅलरी gɛləri
गॅलरींत gɛlərĩt̪ə
गॅलऱयांतल्यान gɛlərjãt̪əljanə
गॅस gɛsə
गे ge
गेंड्या gẽɖja
गेट्स geʈsə
गेट्सा geʈsa
गेट्साचें geʈsatʃẽ
गेतात get̪at̪ə
गेम gemə
गेर gerə
गेरार्ड gerarɖə
गेरीक gerikə
गेला gela
गेलां gelã
गेलांक्युबासिरियाकोसोवोव्हेनेनझुएलाइराक gelãkjubasirijakosoʋoʋɦenenədʒʱuelairakə
गेलाच gelatʃə
गेलाहें gelaɦẽ
गेली geli
गेलीं gelĩ
गेलीना gelina
गेले gele
गेलें gelẽ
गेलेंएकदम gelẽekəd̪əmə
गेलो gelo
गेलों gelõ
गेलोताका gelot̪aka
गेल्या gelja
गेल्यांत geljãt̪ə
गेल्यात geljat̪ə
गेल्यार geljarə
गेल्यो geljo
गेल्ली gelli
गेल्लीं gellĩ
गेल्लीपूण gellipuɳə
गेल्ले gelle
गेल्लें gellẽ
गेल्लेंना gellẽna
गेल्लेंविशय gellẽʋiʃəjə
गेल्लो gello
गेल्लों gellõ
गेल्ल्या gellja
गेल्ल्यांचो gelljãtʃo
गेल्ल्यांच्या gelljãtʃja
गेल्ल्याक gelljakə
गेल्ल्याचें gelljatʃẽ
गेल्ल्यान gelljanə
गेल्ल्यो gelljo
गेव geʋə
गेहलोतान geɦəlot̪anə
गैर gɨjrə
गैरखोशी gɨjrəkʰoʃi
गैरप्रकार gɨjrəprəkarə
गैरप्रकारांक gɨjrəprəkarãkə
गैरप्रकारांत gɨjrəprəkarãt̪ə
गैरप्रकारांनी gɨjrəprəkarãni
गैरप्रकाराचेर gɨjrəprəkaratʃerə
गैरफायदो gɨjrəfajəd̪o
गैरबरोबरी gɨjrəbərobəri
गैरमसज gɨjrəməsədʒə
गैरवापक gɨjrəʋapəkə
गैरवापर gɨjrəʋapərə
गैरवेव्हार gɨjrəʋeʋɦarə
